CustomerNumber,CustomerName,Country,State,City,PlantName,MaterialNumber,BusinessLine,Category,SalesDate,SalesOrder,Volume,Revenue
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2019-05-21 00:00:00,32266697,285,138.26
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2019-08-20 00:00:00,32329615,285,145.81
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2019-09-03 00:00:00,32349164,426,232.54
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-01-16 00:00:00,32431921,221,32.6
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-01-16 00:00:00,32431926,570,303.78
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-03-13 00:00:00,32473371,1092,0
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-03-26 00:00:00,32474176,285,151.37
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-07-09 00:00:00,32544111,285,149.72
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-09-11 00:00:00,32583560,285,144.76
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2020-12-03 00:00:00,32640240,285,151.11
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-01-05 00:00:00,32658472,288,473.53
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-03-02 00:00:00,32696218,285,147.92
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-04-29 00:00:00,32719641,285,153.99
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-09-16 00:00:00,32817541,285,149.44
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-11-09 00:00:00,32855679,285,149.44
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2021-12-08 00:00:00,32873436,285,152.72
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-01-26 00:00:00,32892196,285,150.74
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-04-20 00:00:00,32952428,285,165.99
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-07-07 00:00:00,33006677,221,32.6
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-08-04 00:00:00,33025794,285,181.62
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-09-15 00:00:00,33045231,221,33.6
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-09-22 00:00:00,33045653,285,179.86
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1042,Lubrificantes,CA04,2022-10-31 00:00:00,33064399,221,33.6
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-01-08 00:00:00,32190914,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-01-17 00:00:00,32190951,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-02-05 00:00:00,32210891,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-02-19 00:00:00,32210950,450,796.48
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-02-28 00:00:00,32210985,450,796.48
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-03-26 00:00:00,32231975,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-04-16 00:00:00,32253602,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-05-06 00:00:00,32275454,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-05-16 00:00:00,32275520,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-05-24 00:00:00,32275554,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-06-13 00:00:00,32295493,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-06-20 00:00:00,32295533,450,797.08
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-06-27 00:00:00,32295565,450,797.08
